"Subject_code" "Activity_code" "Activity_label" "Mean"
1 1 "WALKING" -0.163082309727183
1 2 "WALKING_UPSTAIRS" -0.307103990105455
1 3 "WALKING_DOWNSTAIRS" -0.123381646209478
1 4 "SITTING" -0.584725960255462
1 5 "STANDING" -0.604246709315753
1 6 "LAYING" -0.562911611255539
2 1 "WALKING" -0.263447535461266
2 2 "WALKING_UPSTAIRS" -0.245280103879352
2 3 "WALKING_DOWNSTAIRS" -0.0960628386705871
2 4 "SITTING" -0.600393131230662
2 5 "STANDING" -0.607694266118594
2 6 "LAYING" -0.594554938801989
3 1 "WALKING" -0.273821880450755
3 2 "WALKING_UPSTAIRS" -0.332762922095754
3 3 "WALKING_DOWNSTAIRS" -0.210455379815377
3 4 "SITTING" -0.587788224394425
3 5 "STANDING" -0.614465465564024
3 6 "LAYING" -0.59842632621547
4 1 "WALKING" -0.333616309878114
4 2 "WALKING_UPSTAIRS" -0.319770178845403
4 3 "WALKING_DOWNSTAIRS" -0.237339899003328
4 4 "SITTING" -0.599869209421733
4 5 "STANDING" -0.599570831279334
4 6 "LAYING" -0.600275906171113
5 1 "WALKING" -0.255474472944623
5 2 "WALKING_UPSTAIRS" -0.230117115133272
5 3 "WALKING_DOWNSTAIRS" -0.137460044128552
5 4 "SITTING" -0.595146662811886
5 5 "STANDING" -0.59099275703927
5 6 "LAYING" -0.59602738987166
6 1 "WALKING" -0.189527910222856
6 2 "WALKING_UPSTAIRS" -0.18605013871588
6 3 "WALKING_DOWNSTAIRS" -0.00181489215397099
6 4 "SITTING" -0.591247923581489
6 5 "STANDING" -0.608446224524601
6 6 "LAYING" -0.582493067922139
7 1 "WALKING" -0.153995682216284
7 2 "WALKING_UPSTAIRS" -0.343348262765969
7 3 "WALKING_DOWNSTAIRS" -0.152405983197827
7 4 "SITTING" -0.600501628002714
7 5 "STANDING" -0.618483174871523
7 6 "LAYING" -0.617707648273444
8 1 "WALKING" -0.146954599336204
8 2 "WALKING_UPSTAIRS" -0.14179250066879
8 3 "WALKING_DOWNSTAIRS" 0.00160145094544304
8 4 "SITTING" -0.600673533320371
8 5 "STANDING" -0.605993482687088
8 6 "LAYING" -0.59533678345489
9 1 "WALKING" -0.252828358805236
9 2 "WALKING_UPSTAIRS" -0.340098264025389
9 3 "WALKING_DOWNSTAIRS" -0.156501892566705
9 4 "SITTING" -0.60997046876361
9 5 "STANDING" -0.613981626306951
9 6 "LAYING" -0.627386626286394
10 1 "WALKING" -0.176003777762687
10 2 "WALKING_UPSTAIRS" -0.205733713321636
10 3 "WALKING_DOWNSTAIRS" -0.0933115238128125
10 4 "SITTING" -0.596116271283258
10 5 "STANDING" -0.605014811783196
10 6 "LAYING" -0.604927518574841
11 1 "WALKING" -0.338059768711685
11 2 "WALKING_UPSTAIRS" -0.362325282497288
11 3 "WALKING_DOWNSTAIRS" -0.213173995361216
11 4 "SITTING" -0.598457780278531
11 5 "STANDING" -0.604886977432674
11 6 "LAYING" -0.595303144641248
12 1 "WALKING" -0.216009503152813
12 2 "WALKING_UPSTAIRS" -0.326609725707612
12 3 "WALKING_DOWNSTAIRS" -0.153828979531464
12 4 "SITTING" -0.60855456226386
12 5 "STANDING" -0.605736466078446
12 6 "LAYING" -0.601370216513872
13 1 "WALKING" -0.174015896411719
13 2 "WALKING_UPSTAIRS" -0.318594652444451
13 3 "WALKING_DOWNSTAIRS" -0.154798328885655
13 4 "SITTING" -0.598516189463807
13 5 "STANDING" -0.615774742571177
13 6 "LAYING" -0.602841604257323
14 1 "WALKING" -0.269661976895567
14 2 "WALKING_UPSTAIRS" -0.14535777328429
14 3 "WALKING_DOWNSTAIRS" -0.0195228493394599
14 4 "SITTING" -0.623596741200323
14 5 "STANDING" -0.631031797134703
14 6 "LAYING" -0.610177608005162
15 1 "WALKING" -0.276794393081715
15 2 "WALKING_UPSTAIRS" -0.286174878885419
15 3 "WALKING_DOWNSTAIRS" -0.117572917318394
15 4 "SITTING" -0.60012367783369
15 5 "STANDING" -0.611901288939454
15 6 "LAYING" -0.608613628686864
16 1 "WALKING" -0.3394456086821
16 2 "WALKING_UPSTAIRS" -0.365971891945078
16 3 "WALKING_DOWNSTAIRS" -0.202456371341026
16 4 "SITTING" -0.595799444811891
16 5 "STANDING" -0.614099873786586
16 6 "LAYING" -0.625143853489437
17 1 "WALKING" -0.276365528036381
17 2 "WALKING_UPSTAIRS" -0.298654572097386
17 3 "WALKING_DOWNSTAIRS" -0.230166805184095
17 4 "SITTING" -0.601819633581572
17 5 "STANDING" -0.61632620123835
17 6 "LAYING" -0.599068861906119
18 1 "WALKING" -0.342449748521331
18 2 "WALKING_UPSTAIRS" -0.409864052034829
18 3 "WALKING_DOWNSTAIRS" -0.34903537222669
18 4 "SITTING" -0.597541256457032
18 5 "STANDING" -0.625999518491724
18 6 "LAYING" -0.594513102996289
19 1 "WALKING" -0.0582919209468765
19 2 "WALKING_UPSTAIRS" -0.172522155198731
19 3 "WALKING_DOWNSTAIRS" 0.131192702848313
19 4 "SITTING" -0.617821356990207
19 5 "STANDING" -0.619975149879974
19 6 "LAYING" -0.60334569421077
20 1 "WALKING" -0.0854573801276848
20 2 "WALKING_UPSTAIRS" -0.206644877774993
20 3 "WALKING_DOWNSTAIRS" -0.0716770818880729
20 4 "SITTING" -0.611578372189852
20 5 "STANDING" -0.613397381806977
20 6 "LAYING" -0.603095427272892
21 1 "WALKING" -0.200489403444651
21 2 "WALKING_UPSTAIRS" -0.272735241321592
21 3 "WALKING_DOWNSTAIRS" -0.133868540547457
21 4 "SITTING" -0.602270092758525
21 5 "STANDING" -0.620404311959377
21 6 "LAYING" -0.613675758877626
22 1 "WALKING" -0.121473745947508
22 2 "WALKING_UPSTAIRS" -0.16862879193324
22 3 "WALKING_DOWNSTAIRS" -0.131500793139993
22 4 "SITTING" -0.608107074555336
22 5 "STANDING" -0.628399926772542
22 6 "LAYING" -0.597893437112844
23 1 "WALKING" -0.0788643651638404
23 2 "WALKING_UPSTAIRS" -0.243025295195815
23 3 "WALKING_DOWNSTAIRS" -0.000956979995532116
23 4 "SITTING" -0.591440568414947
23 5 "STANDING" -0.618083379460514
23 6 "LAYING" -0.598603350517156
24 1 "WALKING" -0.309113759019627
24 2 "WALKING_UPSTAIRS" -0.340369136263789
24 3 "WALKING_DOWNSTAIRS" -0.21659658268443
24 4 "SITTING" -0.610192323390129
24 5 "STANDING" -0.615423749421368
24 6 "LAYING" -0.598072529579968
25 1 "WALKING" -0.385361945079112
25 2 "WALKING_UPSTAIRS" -0.426504552177634
